customer_id,tenure_months,monthly_charges,usage_minutes_last_30d,avg_sessions_per_week,support_tickets_last_90d,usage_trend_ratio,revenue_lifetime,engagement_score,churn
1,39,81.24139195589935,480.2008070463149,5.053472194038778,1,0.9580763011946662,3168.4142862800745,290.1418731054044,0
2,52,77.99863340126782,197.77075526701714,5.8013915559564255,2,1.5,4055.928936865927,120.98300978259284,0
3,29,62.60131625190208,504.8766800173705,6.101873299597467,4,0.8875983794527675,1815.4381713051603,305.3667573302613,0
4,15,123.14755167862438,507.01690651062205,2.4853683503500057,3,1.1381165987266382,1847.2132751793656,305.2042912465132,0
5,43,78.45188207829733,450.9392423717766,11.058185982949098,2,0.9013201075176869,3373.430929366785,274.98681981624554,0
6,8,66.14549895630677,349.4846059517847,7.363603810197066,1,1.203368762318231,529.1639916504541,212.63620509514965,0
7,21,78.0323765472126,437.01170406267335,9.06500995804231,1,0.9816616974352739,1638.6799074914647,265.83302642082094,0
8,39,75.50853405223269,380.74611318276135,4.487767998801405,2,0.7507089782157914,2944.8328280370747,230.2427751091774,0
9,58,78.75605095782177,516.2219595982008,5.493584194476948,1,0.9501255571614974,4567.850955553663,311.9306094367113,0
10,19,43.12565969297934,356.014684248786,5.0729187940371725,1,0.6437250154983192,819.3875341666075,215.63797806688646,0
11,23,100.83893393133731,412.9629316092002,3.9058814448254724,1,0.8222579841691449,2319.295480420758,249.34011154345032,0
12,11,101.976588408783,191.40135940346312,6.515217838052823,1,1.0762959753749373,1121.7424724966131,117.446902777299,0
13,11,104.40641544072972,436.6359747028266,3.2326973587973615,3,0.8690699255757347,1148.4705698480268,263.2746637652149,0
14,24,81.50863517072595,310.0534658914316,6.396501873811053,1,0.9129392031325833,1956.207244097423,188.59068028438338,0
15,53,88.24962120329032,461.49594608326834,4.003817390754807,2,1.1877315947866633,4677.229923774386,278.49909460626293,0
16,36,57.675461039855,494.6109874297401,5.798055550120156,0,0.899692769500502,2076.31659743478,299.0858146778921,0
17,40,91.65798657194779,326.80324694864174,7.923264215262474,1,1.1024539962146112,3666.3194628779115,199.25125385529003,0
18,24,80.03575413787878,403.742596296126,4.733972873005243,1,0.8808364567758614,1920.858099309091,244.1391469268777,0
19,3,65.79186768721516,420.93938936239095,6.560447569014456,2,1.18331605572246,197.37560306164548,255.18781264504034,0
20,22,92.29489383281681,444.1676478319985,3.982191832015255,1,1.2619104873833302,2030.4876643219698,268.0934654320052,0
21,53,93.068980721822,494.7829390772699,2.6373320385358614,2,0.6064086958972921,4932.655978256566,297.92469626177626,0
22,2,76.21217671349866,479.08134116361555,8.323458260612034,1,0.8030045175830226,152.42435342699733,290.77818800241414,0
23,24,83.76765160256807,354.41316313022406,6.4954183020941585,2,0.9529046485585639,2010.4236384616336,215.2460651989721,0
24,44,54.365659761328786,591.7986314984926,4.731158848430202,2,0.8630689548759374,2392.0890294984665,356.97164243846765,0
